파일,밀도,적용임계값,자동보정임계값,빈칸여부
1000201.JPG,0.0947269572391811,0.02,,False
1000202.JPG,0.03468623308500443,0.06639974717795849,0.06639974717795849,True
1000211.JPG,0.09397428448525019,0.02,,False
1000212.JPG,0.06855577810483571,0.06639974717795849,0.06639974717795849,False
1000221.JPG,0.10079741319502152,0.02,,False
1000222.JPG,0.09322800002875045,0.06639974717795849,0.06639974717795849,False
1000231.JPG,0.037026609091783236,0.02,,False
1000232.JPG,0.09463322807144582,0.06639974717795849,0.06639974717795849,False
1000241.JPG,0.12033317581839305,0.02,,False
1000242.JPG,0.1085961864071863,0.06639974717795849,0.06639974717795849,False
1000251.JPG,0.03683351664840012,0.02,,False
1000252.JPG,0.10637712365002078,0.06639974717795849,0.06639974717795849,False
1000261.JPG,0.0940935881998706,0.02,,False
1000262.JPG,0.10551314029441194,0.06639974717795849,0.06639974717795849,False
1000281.JPG,0.08938354721359928,0.02,,False
1000282.JPG,0.03452310423754294,0.06639974717795849,0.06639974717795849,True
1000291.JPG,0.03347616977034008,0.02,,False
1000292.JPG,0.017045693090637293,0.06639974717795849,0.06639974717795849,True
1000301.JPG,0.0405684108447191,0.02,,False
1000302.JPG,0.1301399570874186,0.06639974717795849,0.06639974717795849,False
1000311.JPG,0.038356349045065255,0.02,,False
1000312.JPG,0.08546489926131295,0.06639974717795849,0.06639974717795849,False
1000321.JPG,0.09727873885879919,0.02,,False
1000322.JPG,0.036273020914572615,0.06639974717795849,0.06639974717795849,True
1000331.JPG,0.06041069983612561,0.02,,False
1000332.JPG,0.07861250317832348,0.06639974717795849,0.06639974717795849,False
1000341.JPG,0.09845409026650641,0.02,,False
1000342.JPG,0.09197373226710517,0.06639974717795849,0.06639974717795849,False
1000351.JPG,0.06707318733838469,0.02,,False
1000352.JPG,0.08337555355377252,0.06639974717795849,0.06639974717795849,False
1000371.JPG,0.019831882070537033,0.02,,True
1000372.JPG,0.022456109950278212,0.06639974717795849,0.06639974717795849,True
1000381.JPG,0.08370678681058279,0.02,,False
1000382.JPG,0.13593303900844664,0.06639974717795849,0.06639974717795849,False
1000391.JPG,0.09588735082839778,0.02,,False
1000392.JPG,0.09165215451773076,0.06639974717795849,0.06639974717795849,False
1000401.JPG,0.09523095461138845,0.02,,False
1000402.JPG,0.035736888629436095,0.06639974717795849,0.06639974717795849,True
1000411.JPG,0.09132338378924859,0.02,,False
1000412.JPG,0.09840324456559901,0.06639974717795849,0.06639974717795849,False
1000421.JPG,0.08664209285793235,0.02,,False
1000422.JPG,0.08064102300679965,0.06639974717795849,0.06639974717795849,False
1000431.JPG,0.09840161119635754,0.02,,False
1000432.JPG,0.035682674639331224,0.06639974717795849,0.06639974717795849,True
1000441.JPG,0.09778518020441147,0.02,,False
1000442.JPG,0.03503942388212462,0.06639974717795849,0.06639974717795849,True
1000451.JPG,0.0942760300426954,0.02,,False
1000452.JPG,0.0892370291100048,0.06639974717795849,0.06639974717795849,False
1000461.JPG,0.10114058162150046,0.02,,False
1000462.JPG,0.09917597165077405,0.06639974717795849,0.06639974717795849,False
1000481.JPG,0.031794197682836076,0.02,,False
1000482.JPG,0.06927904954788927,0.06639974717795849,0.06639974717795849,False
1000491.JPG,0.0306493700383383,0.02,,False
1000492.JPG,0.016783019170507178,0.06639974717795849,0.06639974717795849,True
1000501.JPG,0.08371327196927371,0.02,,False
1000502.JPG,0.08636138395242249,0.06639974717795849,0.06639974717795849,False
1000511.JPG,0.09418941727609073,0.02,,False
1000512.JPG,0.07143528130835049,0.06639974717795849,0.06639974717795849,False
1000521.JPG,0.09653981186438966,0.02,,False
1000522.JPG,0.03443290782354874,0.06639974717795849,0.06639974717795849,True
1000531.JPG,0.08911457493504749,0.02,,False
1000532.JPG,0.1041151518063958,0.06639974717795849,0.06639974717795849,False
1000541.JPG,0.09533107646774604,0.02,,False
1000542.JPG,0.08869396765456096,0.06639974717795849,0.06639974717795849,False
1000551.JPG,0.09815989844916033,0.02,,False
1000552.JPG,0.03500650234987018,0.06639974717795849,0.06639974717795849,True
81000201.JPG,0.0947269572391811,0.02,,False
81000202.JPG,0.03468623308500443,0.06639974717795849,0.06639974717795849,True
81000211.JPG,0.09397428448525019,0.02,,False
81000212.JPG,0.06855577810483571,0.06639974717795849,0.06639974717795849,False
81000221.JPG,0.10079741319502152,0.02,,False
81000222.JPG,0.09322800002875045,0.06639974717795849,0.06639974717795849,False
81000231.JPG,0.037026609091783236,0.02,,False
81000232.JPG,0.09463322807144582,0.06639974717795849,0.06639974717795849,False
81000241.JPG,0.12033317581839305,0.02,,False
81000242.JPG,0.1085961864071863,0.06639974717795849,0.06639974717795849,False
81000251.JPG,0.03683351664840012,0.02,,False
81000252.JPG,0.10637712365002078,0.06639974717795849,0.06639974717795849,False
81000261.JPG,0.0940935881998706,0.02,,False
81000262.JPG,0.10551314029441194,0.06639974717795849,0.06639974717795849,False
81000271.JPG,0.07988419927971932,0.02,,False
81000272.JPG,0.14417185555706896,0.06639974717795849,0.06639974717795849,False
81000281.JPG,0.08938354721359928,0.02,,False
81000282.JPG,0.03452310423754294,0.06639974717795849,0.06639974717795849,True
81000291.JPG,0.03347616977034008,0.02,,False
81000292.JPG,0.017045693090637293,0.06639974717795849,0.06639974717795849,True
81000301.JPG,0.0405684108447191,0.02,,False
81000302.JPG,0.1301399570874186,0.06639974717795849,0.06639974717795849,False
81000311.JPG,0.038356349045065255,0.02,,False
