파일,밀도,적용임계값,자동보정임계값,빈칸여부
1000201.JPG,0.0947269572391811,0.02,,False
1000202.JPG,0.03468623308500443,0.06604391232132911,0.07104391232132912,True
1000211.JPG,0.09397428448525019,0.02,,False
1000212.JPG,0.06855577810483571,0.06604391232132911,0.07104391232132912,False
1000221.JPG,0.10079741319502152,0.02,,False
1000222.JPG,0.09322800002875045,0.06604391232132911,0.07104391232132912,False
1000231.JPG,0.037026609091783236,0.02,,False
1000232.JPG,0.09463322807144582,0.06604391232132911,0.07104391232132912,False
1000241.JPG,0.12033317581839305,0.02,,False
1000242.JPG,0.1085961864071863,0.06604391232132911,0.07104391232132912,False
1000251.JPG,0.03683351664840012,0.02,,False
1000252.JPG,0.10637712365002078,0.06604391232132911,0.07104391232132912,False
1000261.JPG,0.0940935881998706,0.02,,False
1000262.JPG,0.10551314029441194,0.06604391232132911,0.07104391232132912,False
1000271.JPG,0.07988419927971932,0.02,,False
1000272.JPG,0.14417185555706896,0.06604391232132911,0.07104391232132912,False
1000281.JPG,0.08938354721359928,0.02,,False
1000282.JPG,0.03452310423754294,0.06604391232132911,0.07104391232132912,True
1000291.JPG,0.03347616977034008,0.02,,False
1000292.JPG,0.017045693090637293,0.06604391232132911,0.07104391232132912,True
1000301.JPG,0.0405684108447191,0.02,,False
1000302.JPG,0.1301399570874186,0.06604391232132911,0.07104391232132912,False
1000311.JPG,0.038356349045065255,0.02,,False
1000312.JPG,0.08546489926131295,0.06604391232132911,0.07104391232132912,False
1000321.JPG,0.09727873885879919,0.02,,False
1000322.JPG,0.036273020914572615,0.06604391232132911,0.07104391232132912,True
1000331.JPG,0.06041069983612561,0.02,,False
1000332.JPG,0.07861250317832348,0.06604391232132911,0.07104391232132912,False
1000341.JPG,0.09845409026650641,0.02,,False
1000342.JPG,0.09197373226710517,0.06604391232132911,0.07104391232132912,False
